tournament,threshold_pct,n_matches,coverage,accuracy
2018 World Cup,40,47,0.8103,0.5957
2018 World Cup,45,38,0.6552,0.6316
2018 World Cup,50,31,0.5345,0.6452
2018 World Cup,55,22,0.3793,0.7273
2018 World Cup,60,12,0.2069,0.75
2022 World Cup,40,57,0.95,0.5614
2022 World Cup,45,48,0.8,0.5208
2022 World Cup,50,37,0.6167,0.5946
2022 World Cup,55,27,0.45,0.5926
2022 World Cup,60,17,0.2833,0.7647
UEFA Euro 2024,40,71,0.8068,0.5493
UEFA Euro 2024,45,58,0.6591,0.569
UEFA Euro 2024,50,51,0.5795,0.6078
UEFA Euro 2024,55,39,0.4432,0.5897
UEFA Euro 2024,60,28,0.3182,0.6429
Copa América 2024,40,59,0.831,0.5085
Copa América 2024,45,46,0.6479,0.5435
Copa América 2024,50,35,0.493,0.5714
Copa América 2024,55,31,0.4366,0.5484
Copa América 2024,60,24,0.338,0.625
