tournament,subset,model,log_loss,brier,accuracy,rps
2018 World Cup,All Matches,GlobalGHMM,0.9376,0.5574,0.5918,0.1915
2018 World Cup,All Matches,GlobalGHMM+Draw,0.9347,0.5558,0.5918,0.1912
2018 World Cup,All Matches,XGBoost,1.0265,0.6016,0.5714,0.21
2018 World Cup,All Matches,Random Forest,0.9908,0.5963,0.4898,0.2071
2018 World Cup,All Matches,Elo,0.9808,0.5837,0.5306,0.2007
2018 World Cup,All Matches,Uniform,1.0986,0.6667,0.3673,0.2404
2018 World Cup,W/L Only,GlobalGHMM,0.7976,0.4506,0.7632,0.1955
2018 World Cup,W/L Only,GlobalGHMM+Draw,0.8007,0.4523,0.7632,0.196
2018 World Cup,W/L Only,XGBoost,0.82,0.4643,0.7105,0.2079
2018 World Cup,W/L Only,Random Forest,0.8417,0.4866,0.6316,0.2115
2018 World Cup,W/L Only,Elo,0.857,0.4888,0.6842,0.2088
2018 World Cup,W/L Only,Uniform,1.0986,0.6667,0.4737,0.2778
2022 World Cup,All Matches,GlobalGHMM,1.0689,0.631,0.5417,0.2178
2022 World Cup,All Matches,GlobalGHMM+Draw,1.0653,0.6288,0.5417,0.2173
2022 World Cup,All Matches,XGBoost,1.1575,0.6803,0.4792,0.2348
2022 World Cup,All Matches,Random Forest,1.0505,0.6383,0.5208,0.2169
2022 World Cup,All Matches,Elo,1.0801,0.6342,0.5,0.2203
2022 World Cup,All Matches,Uniform,1.0986,0.6667,0.2708,0.2326
2022 World Cup,W/L Only,GlobalGHMM,0.9608,0.5392,0.7429,0.2376
2022 World Cup,W/L Only,GlobalGHMM+Draw,0.9623,0.5394,0.7429,0.2376
2022 World Cup,W/L Only,XGBoost,0.9549,0.5383,0.6571,0.2463
2022 World Cup,W/L Only,Random Forest,0.9201,0.5349,0.7143,0.2321
2022 World Cup,W/L Only,Elo,0.9932,0.5542,0.6857,0.2434
2022 World Cup,W/L Only,Uniform,1.0986,0.6667,0.3714,0.2778
2024 Internationals,All Matches,GlobalGHMM,1.0684,0.6396,0.4813,0.2031
2024 Internationals,All Matches,GlobalGHMM+Draw,1.0597,0.6364,0.4813,0.2025
2024 Internationals,All Matches,XGBoost,1.083,0.6518,0.4562,0.2139
2024 Internationals,All Matches,Random Forest,1.0426,0.6258,0.4813,0.2035
2024 Internationals,All Matches,Elo,1.0408,0.6248,0.45,0.2006
2024 Internationals,All Matches,Uniform,1.0986,0.6667,0.2875,0.2226
2024 Internationals,W/L Only,GlobalGHMM,0.8856,0.5083,0.7196,0.221
2024 Internationals,W/L Only,GlobalGHMM+Draw,0.8906,0.5106,0.7196,0.2214
2024 Internationals,W/L Only,XGBoost,0.9498,0.5499,0.6262,0.2382
2024 Internationals,W/L Only,Random Forest,0.9353,0.541,0.6355,0.2309
2024 Internationals,W/L Only,Elo,0.9094,0.5192,0.6729,0.2238
2024 Internationals,W/L Only,Uniform,1.0986,0.6667,0.4299,0.2778
