tournament,subset,model,log_loss,brier,accuracy,rps,window,dataset
2018 World Cup,All Matches,GlobalGHMM,0.9672,0.5725,0.5517,0.2009,3,2002-extended
2018 World Cup,All Matches,GlobalGHMM+Draw,0.9661,0.5715,0.5517,0.2007,3,2002-extended
2018 World Cup,All Matches,XGBoost,1.085,0.6562,0.4828,0.242,3,2002-extended
2018 World Cup,All Matches,Random Forest,1.1345,0.6754,0.4483,0.2522,3,2002-extended
2018 World Cup,All Matches,Elo,0.9548,0.5623,0.5862,0.1993,3,2002-extended
2018 World Cup,All Matches,Uniform,1.0986,0.6667,0.3793,0.2433,3,2002-extended
2018 World Cup,W/L Only,GlobalGHMM,0.8677,0.4942,0.6957,0.2107,3,2002-extended
2018 World Cup,W/L Only,GlobalGHMM+Draw,0.8659,0.4927,0.6957,0.2104,3,2002-extended
2018 World Cup,W/L Only,XGBoost,0.9763,0.581,0.6087,0.26,3,2002-extended
2018 World Cup,W/L Only,Random Forest,1.0579,0.6214,0.5435,0.2763,3,2002-extended
2018 World Cup,W/L Only,Elo,0.8572,0.4856,0.7391,0.2101,3,2002-extended
2018 World Cup,W/L Only,Uniform,1.0986,0.6667,0.4783,0.2778,3,2002-extended
2022 World Cup,All Matches,GlobalGHMM,1.049,0.6111,0.55,0.2132,3,2002-extended
2022 World Cup,All Matches,GlobalGHMM+Draw,1.0491,0.611,0.55,0.2132,3,2002-extended
2022 World Cup,All Matches,XGBoost,1.0625,0.645,0.45,0.2302,3,2002-extended
2022 World Cup,All Matches,Random Forest,1.0884,0.6661,0.4,0.2439,3,2002-extended
2022 World Cup,All Matches,Elo,1.0577,0.6102,0.5167,0.2155,3,2002-extended
2022 World Cup,All Matches,Uniform,1.0986,0.6667,0.3,0.2361,3,2002-extended
2022 World Cup,W/L Only,GlobalGHMM,0.9666,0.5363,0.7333,0.2329,3,2002-extended
2022 World Cup,W/L Only,GlobalGHMM+Draw,0.9638,0.5344,0.7333,0.2325,3,2002-extended
2022 World Cup,W/L Only,XGBoost,0.9431,0.5588,0.6,0.252,3,2002-extended
2022 World Cup,W/L Only,Random Forest,0.9884,0.5983,0.4889,0.2713,3,2002-extended
2022 World Cup,W/L Only,Elo,0.9645,0.5245,0.6889,0.2333,3,2002-extended
2022 World Cup,W/L Only,Uniform,1.0986,0.6667,0.4,0.2778,3,2002-extended
UEFA Euro 2024,All Matches,GlobalGHMM,1.0036,0.598,0.5227,0.1936,3,2002-extended
UEFA Euro 2024,All Matches,GlobalGHMM+Draw,1.0039,0.5984,0.5227,0.1937,3,2002-extended
UEFA Euro 2024,All Matches,XGBoost,1.0884,0.6603,0.4091,0.2256,3,2002-extended
UEFA Euro 2024,All Matches,Random Forest,1.1342,0.6956,0.4091,0.241,3,2002-extended
UEFA Euro 2024,All Matches,Elo,0.9398,0.5579,0.5455,0.1741,3,2002-extended
UEFA Euro 2024,All Matches,Uniform,1.0986,0.6667,0.2955,0.2266,3,2002-extended
UEFA Euro 2024,W/L Only,GlobalGHMM,0.8495,0.475,0.7541,0.2063,3,2002-extended
UEFA Euro 2024,W/L Only,GlobalGHMM+Draw,0.8489,0.4748,0.7541,0.2064,3,2002-extended
UEFA Euro 2024,W/L Only,XGBoost,0.9755,0.5764,0.5902,0.2579,3,2002-extended
UEFA Euro 2024,W/L Only,Random Forest,1.0214,0.6188,0.5246,0.2769,3,2002-extended
UEFA Euro 2024,W/L Only,Elo,0.7559,0.413,0.7869,0.1767,3,2002-extended
UEFA Euro 2024,W/L Only,Uniform,1.0986,0.6667,0.4262,0.2778,3,2002-extended
Copa América 2024,All Matches,GlobalGHMM,1.011,0.6061,0.4789,0.187,3,2002-extended
Copa América 2024,All Matches,GlobalGHMM+Draw,1.0099,0.606,0.4789,0.1871,3,2002-extended
Copa América 2024,All Matches,XGBoost,1.0893,0.6604,0.3944,0.2157,3,2002-extended
Copa América 2024,All Matches,Random Forest,1.125,0.6848,0.4366,0.2226,3,2002-extended
Copa América 2024,All Matches,Elo,0.9568,0.5741,0.507,0.1711,3,2002-extended
Copa América 2024,All Matches,Uniform,1.0986,0.6667,0.2535,0.2191,3,2002-extended
Copa América 2024,W/L Only,GlobalGHMM,0.8434,0.473,0.7391,0.2019,3,2002-extended
Copa América 2024,W/L Only,GlobalGHMM+Draw,0.8424,0.4728,0.7391,0.202,3,2002-extended
Copa América 2024,W/L Only,XGBoost,0.9544,0.5592,0.6087,0.2503,3,2002-extended
Copa América 2024,W/L Only,Random Forest,0.9507,0.5656,0.6087,0.253,3,2002-extended
Copa América 2024,W/L Only,Elo,0.7414,0.4075,0.7826,0.1735,3,2002-extended
Copa América 2024,W/L Only,Uniform,1.0986,0.6667,0.3913,0.2778,3,2002-extended
