state_id,interpretation,ewa_win_rate,ewa_goal_diff,rolling_win_vs_strong_5,rolling_goal_diff_std_5,rolling_win_rate_std_5,ewa_win_rate_momentum,ewa_goal_diff_momentum,training_run
0,Strong,0.827,0.681,0.975,0.267,0.687,0.495,0.363,2018_WC
1,Poor,-1.275,-1.099,-1.507,-0.5,-1.951,-0.872,-0.681,2018_WC
2,Elite,1.431,1.206,1.563,0.002,-0.028,0.907,0.685,2018_WC
3,Average,0.098,0.092,0.147,0.346,0.687,0.098,0.081,2018_WC
4,Stable/Weak,-0.353,-0.24,-0.381,-2.148,-1.951,-0.006,-0.005,2018_WC
5,Inconsistent,0.023,0.037,-0.68,0.24,0.203,0.538,0.531,2018_WC
6,Below Avg,-0.727,-0.615,-0.68,0.157,0.203,-0.625,-0.485,2018_WC
0,Poor,-1.293,-1.114,-1.515,-0.548,-2.054,-0.881,-0.69,2024_intl
1,Elite,1.705,1.424,1.939,-0.077,-0.176,1.064,0.811,2024_intl
2,Above Avg,0.307,0.264,0.128,0.047,0.553,0.316,0.197,2024_intl
3,Average,0.105,0.081,0.149,0.316,0.673,0.108,0.068,2024_intl
4,Strong,0.846,0.712,0.98,0.284,0.673,0.491,0.381,2024_intl
5,Below Avg,-0.591,-0.483,-0.683,0.114,0.173,-0.392,-0.278,2024_intl
6,Stable/Weak,-0.353,-0.238,-0.383,-2.238,-2.054,-0.011,-0.002,2024_intl
0,Below Avg,-1.255,-1.047,-0.911,-0.086,0.011,-0.867,-0.684,2022_WC
1,Weak,-0.66,-0.601,-0.325,0.133,0.584,-0.493,-0.482,2022_WC
2,Strong,1.116,0.918,1.297,-1.014,-2.538,0.745,0.575,2022_WC
3,Elite,1.184,0.97,1.203,0.138,0.011,0.78,0.566,2022_WC
4,Average,0.341,0.294,0.123,0.239,0.584,0.239,0.214,2022_WC
5,Below Avg2,-0.54,-0.411,-0.96,-0.081,0.011,-0.267,-0.137,2022_WC
6,Poor,-1.712,-1.364,-1.442,-0.842,-2.538,-1.125,-0.8,2022_WC
0,Strong,1.161,0.967,1.348,-0.959,-2.587,0.782,0.599,Euro2024
1,Weak,-0.887,-0.767,-0.955,-0.007,-0.002,0.119,0.13,Euro2024
2,Elite,1.146,0.816,1.197,-0.038,-0.002,0.73,0.404,Euro2024
3,Goal Elite,1.433,2.364,1.096,1.655,-0.002,1.231,2.057,Euro2024
4,Average,0.077,0.057,0.0,0.205,0.579,0.044,0.031,Euro2024
5,Poor,-1.728,-1.375,-1.447,-0.848,-2.587,-1.138,-0.805,Euro2024
6,Below Avg,-1.073,-0.851,-0.925,-0.16,-0.002,-1.147,-0.878,Euro2024
0,Average,0.078,0.057,-0.001,0.205,0.578,0.044,0.031,Copa2024
1,Below Avg,-1.001,-0.819,-0.937,-0.101,-0.003,-0.649,-0.481,Copa2024
2,Stable/Avg,-0.1,-0.123,0.069,-2.053,-2.589,-0.018,-0.012,Copa2024
3,Elite,1.892,1.62,2.11,-0.287,-2.589,1.294,0.988,Copa2024
4,Poor,-1.719,-1.38,-1.447,-0.798,-2.589,-1.17,-0.826,Copa2024
5,Goal Elite,1.427,2.289,1.091,1.581,-0.003,1.268,2.04,Copa2024
6,Strong,1.143,0.81,1.199,-0.046,-0.003,0.72,0.392,Copa2024
