window,tournament,all_matches_accuracy,wl_accuracy,gate60_accuracy,gate60_n,hmm_converged
1,2018 World Cup,0.5517,0.6957,0.75,12,True
1,2022 World Cup,0.5667,0.7556,0.7647,17,True
1,UEFA Euro 2024,0.5,0.7213,0.6429,28,True
1,Copa América 2024,0.4789,0.7391,0.625,24,True
2,2018 World Cup,0.5918,0.7632,0.8125,16,True
2,2022 World Cup,0.5,0.6857,0.4667,15,False
3,2018 World Cup,0.5517,0.6957,0.6154,13,True
3,2022 World Cup,0.55,0.7333,0.7647,17,True
3,UEFA Euro 2024,0.5227,0.7541,0.6,35,True
3,Copa América 2024,0.4789,0.7391,0.6667,24,True
4,2018 World Cup,0.5517,0.6957,0.6364,11,True
4,2022 World Cup,0.5667,0.7556,0.8125,16,True
4,UEFA Euro 2024,0.5114,0.7377,0.6562,32,True
4,Copa América 2024,0.4789,0.7391,0.6667,24,True
5,2018 World Cup,0.5345,0.6739,0.6,10,True
5,2022 World Cup,0.5667,0.7556,0.8125,16,True
5,UEFA Euro 2024,0.5,0.7213,0.6452,31,True
5,Copa América 2024,0.4789,0.7391,0.6667,24,True
7,2018 World Cup,0.5345,0.6739,0.6,10,True
7,2022 World Cup,0.5667,0.7556,0.8125,16,True
7,UEFA Euro 2024,0.5,0.7213,0.6129,31,True
7,Copa América 2024,0.4789,0.7391,0.6667,24,True
10,2018 World Cup,0.5345,0.6739,0.6,10,True
10,2022 World Cup,0.5667,0.7556,0.8125,16,True
10,UEFA Euro 2024,0.5114,0.7377,0.5862,29,True
10,Copa América 2024,0.4789,0.7391,0.6667,24,True
15,2018 World Cup,0.5345,0.6739,0.6364,11,True
15,2022 World Cup,0.5667,0.7556,0.7647,17,True
15,UEFA Euro 2024,0.5114,0.7377,0.6452,31,True
15,Copa América 2024,0.4789,0.7391,0.6667,24,True
20,2018 World Cup,0.5345,0.6739,0.6364,11,True
20,2022 World Cup,0.5667,0.7556,0.8125,16,True
20,UEFA Euro 2024,0.5114,0.7377,0.6129,31,True
20,Copa América 2024,0.4789,0.7391,0.6667,24,True
